#SampleID	DIET_TYPE
000005034.1076350	Omn
000002013.1131550	Veg
000004731.1076409	Omn
000001376.1131725	Omn
000007749.1130433	Omn
000004854.1053786	Omn
000001221.1075847	Omn
000004758.1076374	Omn
000007054.1130151	Omn
000001111.1076323	Omn
000004161.1131516	Omn
000005889.1053949	Omn
000007181.1130359	Omn
000005939.1131557	Omn
000001121.1075814	Omn
000001979.1075738	Omn
000001793.1076039	Omn
000007058.1130119	Omn
000004680.1075883	Omn
000007044.1130122	Omn
000004159.1075855	Omn
000002564.1076029	Omn
000003387.1076286	Omn
000009560.1130221	Omn
000002772.1130083	Omn
000009628.1130042	Omn
000003369.1076434	Omn
000004188.1075819	Omn
000009403.1130525	Omn
000006080.1131591	Omn
000002995.1076143	Omn
000004923.1131966	Omn
000003969.1075720	Omn
000005360.1076245	Omn
000003430.1075947	Omn
000005885.1076270	Omn
000003730.1130454	Omn
000009445.1130058	Omn
000001770.1075955	Omn
000001694.1075841	Omn
000001969.1076115	Omn
000004660.1076468	Omn
000001410.1130108	Veg
000001214.1130438	Omn
000004951.1076295	Omn
000001362.1075732	Omn
000004025.1130422	Omn
000002030.1053854	Omn
000005703.1131535	Omn
000003004.1130330	Omn
000001546.1131928	Omn
000002435.1130295	Omn
000009419.1130338	Omn
000003024.1076348	Omn
000008951.1076310	Omn
000002162.1053707	Omn
000002404.1076256	Omn
000005841.1076304	Omn
000005871.1130499	Omn
000002814.1076021	Omn
000003086.1076455	Omn
000009507.1130056	Omn
000002922.1131863	Omn
000002860.1131791	Omn
000009495.1130019	Omn
000004716.1076420	Omn
000001058.1076043	Omn
000001150.1076054	Omn
000005576.1076167	Omn
000001711.1075845	Omn
000003411.1130043	Veg
000005809.1130260	Omn
000004145.1076463	Veg
000004018.1131835	Omn
000008952.1076326	Omn
000001635.1076140	Omn
000001446.1075780	Omn
000009368.1130537	Omn
000001396.1131751	Veg
000005879.1130304	Omn
000001065.1075851	Omn
000001367.1075806	Omn
000005454.1131868	Omn
000007037.1131746	Omn
