#SampleID	DIET_TYPE
000013989.1259608	Omnivore
000011224.1210932	Vegan
000011170.1257504	Omnivore
000005034.1076350	Omnivore
000011351.1210669	Omnivore
000012120.1210523	Omnivore
000004731.1076409	Omnivore
000001797.1075964	Omnivore
000001376.1131725	Omnivore
000007749.1130433	Omnivore
000004854.1053786	Omnivore
000001221.1075847	Omnivore
000004758.1076374	Omnivore
000007054.1130151	Omnivore
000001111.1076323	Omnivore
000004161.1131516	Omnivore
000004659.1210528	Omnivore
000012418.1210549	Omnivore
000014269.1259491	Omnivore
000013510.1257164	Omnivore
000005889.1053949	Omnivore
000014497.1259752	Omnivore
000001571.1212966	Omnivore
000010744.1259476	Omnivore
000007181.1130359	Omnivore
000007811.1130412	Omnivore
000011335.1210545	Omnivore
000013956.1259551	Omnivore
000012994.1257089	Omnivore
000005939.1131557	Omnivore
000013116.1257202	Omnivore
000001121.1075814	Omnivore
000001979.1075738	Omnivore
000001793.1076039	Omnivore
000015826.1259282	Omnivore
000002739.1075865	Omnivore
000010154.1210822	Omnivore
000007058.1130119	Omnivore
000004680.1075883	Omnivore
000006067.1259592	Omnivore
000007044.1130122	Omnivore
000002290.1210781	Omnivore
000010116.1257405	Omnivore
000004159.1075855	Omnivore
000002564.1076029	Omnivore
000003387.1076286	Omnivore
000013304.1257239	Omnivore
000001497.1259199	Omnivore
000014006.1257141	Omnivore
000009560.1130221	Omnivore
000002772.1130083	Omnivore
000009628.1130042	Omnivore
000010900.1212969	Omnivore
000003369.1076434	Omnivore
000005776.1076333	Omnivore
000009605.1213003	Omnivore
000010963.1259304	Omnivore
000013147.1259606	Omnivore
000009403.1130525	Omnivore
000010559.1210622	Omnivore
000006080.1131591	Omnivore
000013779.1259166	Omnivore
000010968.1257255	Omnivore
000004923.1131966	Omnivore
000013982.1257320	Omnivore
000003969.1075720	Omnivore
000005360.1076245	Omnivore
000006735.1257092	Omnivore
000011297.1259291	Omnivore
000011225.1210593	Omnivore
000013117.1257545	Omnivore
000011246.1210942	Omnivore
000003430.1075947	Omnivore
000005885.1076270	Omnivore
000013591.1257441	Omnivore
000011962.1210731	Omnivore
000003730.1130454	Omnivore
000009445.1130058	Omnivore
000012017.1259287	Omnivore
000001770.1075955	Omnivore
000013984.1259206	Omnivore
000001694.1075841	Omnivore
000013232.1259366	Omnivore
000001969.1076115	Omnivore
000010298.1213043	Omnivore
000004660.1076468	Omnivore
000013397.1259254	Omnivore
000012391.1210938	Omnivore
000012037.1210711	Omnivore
000001214.1130438	Omnivore
000012886.1210860	Omnivore
000004951.1076295	Omnivore
000013763.1259575	Omnivore
000001362.1075732	Omnivore
000004288.1213027	Omnivore
000004025.1130422	Omnivore
000002750.1259486	Omnivore
000013905.1210646	Omnivore
000002030.1053854	Omnivore
000005703.1131535	Omnivore
000003004.1130330	Omnivore
000001546.1131928	Omnivore
000012128.1259171	Omnivore
000009148.1213122	Omnivore
000002435.1130295	Omnivore
000002059.1213100	Omnivore
000009419.1130338	Omnivore
000002322.1213016	Omnivore
000014628.1259423	Omnivore
000003024.1076348	Omnivore
000008951.1076310	Omnivore
000002162.1053707	Omnivore
000002404.1076256	Omnivore
000014293.1257469	Omnivore
000011375.1257512	Omnivore
000013018.1257494	Omnivore
000005841.1076304	Omnivore
000005871.1130499	Omnivore
000002814.1076021	Omnivore
000003086.1076455	Omnivore
000009507.1130056	Omnivore
000002922.1131863	Omnivore
000002860.1131791	Omnivore
000012265.1210552	Omnivore
000012156.1259410	Omnivore
000004716.1076420	Omnivore
000001058.1076043	Omnivore
000001150.1076054	Omnivore
000005576.1076167	Omnivore
000011119.1210964	Omnivore
000009710.1213079	Omnivore
000011093.1257172	Omnivore
000001711.1075845	Omnivore
000005809.1130260	Omnivore
000004241.1257474	Omnivore
000010875.1259300	Omnivore
000002945.1259355	Omnivore
000004018.1131835	Omnivore
000003924.1210620	Omnivore
000012211.1210753	Omnivore
000008952.1076326	Omnivore
000013648.1259332	Omnivore
000001635.1076140	Omnivore
000006901.1259310	Omnivore
000013165.1259688	Omnivore
000001613.1213143	Vegan
000010912.1257281	Omnivore
000001446.1075780	Omnivore
000013130.1210668	Omnivore
000009368.1130537	Omnivore
000005879.1130304	Omnivore
000014199.1259407	Omnivore
000001065.1075851	Omnivore
000013951.1259488	Omnivore
000013039.1210564	Omnivore
000001525.1259767	Omnivore
000010233.1259515	Omnivore
000011977.1257387	Omnivore
000010161.1210557	Omnivore
000001367.1075806	Omnivore
000005454.1131868	Omnivore
000014897.1259290	Omnivore
000002079.1130001	Omnivore
000007037.1131746	Omnivore
000011949.1259675	Omnivore
000003799.1130268	Omnivore
000002905.1076298	Omnivore
000011951.1210703	Omnivore
000013585.1257105	Omnivore
000006756.1053804	Omnivore
000009580.1130174	Omnivore
000001205.1076316	Omnivore
000001139.1131702	Omnivore
000009527.1130286	Omnivore
000003850.1259590	Omnivore
000014540.1259445	Omnivore
000012148.1257217	Omnivore
000012974.1259229	Omnivore
000003160.1259460	Omnivore
000010940.1210797	Omnivore
000010259.1210691	Omnivore
000007083.1075676	Omnivore
000013315.1257248	Omnivore
000003319.1076458	Omnivore
000003895.1076443	Omnivore
000001048.1075900	Omnivore
000013252.1257398	Omnivore
000001315.1075967	Omnivore
000013571.1257516	Omnivore
000013343.1257158	Omnivore
000007670.1130354	Omnivore
000006911.1130059	Omnivore
000001558.1076184	Omnivore
000001701.1210578	Omnivore
000011071.1259337	Omnivore
000013465.1259585	Omnivore
000006776.1210725	Omnivore
000001232.1130035	Omnivore
000011155.1257332	Omnivore
000007668.1130386	Omnivore
000003196.1259611	Omnivore
000010258.1210698	Omnivore
000009670.1213024	Omnivore
000004705.1130352	Omnivore
000004071.1075897	Omnivore
000013509.1257408	Omnivore
000006703.1131838	Omnivore
000001244.1076467	Omnivore
000013988.1259537	Omnivore
000010827.1210606	Omnivore
000001827.1076437	Omnivore
000006735.1259370	Omnivore
000007005.1131779	Omnivore
000007151.1130047	Omnivore
000014012.1259473	Omnivore
000009216.1213001	Omnivore
000005927.1131701	Omnivore
000003716.1131747	Omnivore
000001801.1076017	Omnivore
000014165.1259694	Omnivore
000012407.1210667	Omnivore
000001482.1075740	Omnivore
000002051.1053951	Omnivore
000011240.1257372	Omnivore
000001004.1076113	Omnivore
000005721.1210922	Omnivore
000006034.1053823	Omnivore
000014168.1259266	Omnivore
000014236.1259614	Omnivore
000004847.1076145	Omnivore
000001782.1076436	Omnivore
000010808.1210865	Omnivore
000001917.1210728	Omnivore
000001905.1130196	Omnivore
000001685.1075790	Omnivore
000003974.1212948	Omnivore
000001512.1257362	Omnivore
000011069.1259437	Omnivore
000004703.1131571	Omnivore
000004714.1076253	Omnivore
000001719.1130248	Omnivore
000002598.1076123	Omnivore
000005085.1076193	Omnivore
000006654.1130005	Omnivore
000011301.1257175	Omnivore
000012983.1210696	Omnivore
000012173.1257349	Omnivore
000002631.1075741	Omnivore
000009015.1130431	Omnivore
000003508.1075928	Omnivore
000004072.1076100	Omnivore
000003559.1131777	Omnivore
000007172.1213042	Omnivore
000003206.1257503	Omnivore
000012134.1257254	Omnivore
000011055.1257462	Omnivore
000001513.1131954	Omnivore
000001565.1131700	Omnivore
000003221.1076157	Omnivore
000004139.1075994	Omnivore
000001772.1075792	Omnivore
000002765.1076417	Omnivore
000001852.1075839	Omnivore
000013499.1257346	Omnivore
000011244.1257396	Omnivore
000013441.1259188	Omnivore
000013540.1259152	Omnivore
000001966.1076441	Omnivore
000009623.1130130	Omnivore
000003002.1076454	Omnivore
000003059.1076103	Omnivore
000005568.1053945	Omnivore
000005897.1257471	Omnivore
000006726.1053805	Omnivore
000002132.1076332	Omnivore
000013480.1259432	Omnivore
000014188.1259699	Omnivore
000001765.1076173	Omnivore
000011277.1210888	Omnivore
000009239.1130379	Omnivore
000010735.1210881	Omnivore
000002185.1075996	Omnivore
000001328.1076289	Omnivore
000009217.1257130	Omnivore
000006084.1130445	Omnivore
000013579.1259338	Omnivore
000013366.1257250	Omnivore
000007746.1131774	Omnivore
000010139.1259260	Omnivore
000012280.1210569	Omnivore
000014007.1257247	Omnivore
000010896.1213075	Omnivore
000006626.1131574	Omnivore
000009559.1210550	Omnivore
000002198.1210687	Omnivore
000004285.1213110	Omnivore
000011990.1259431	Omnivore
000006778.1053712	Omnivore
000002809.1131923	Omnivore
000003317.1053879	Omnivore
000001253.1076218	Omnivore
000014054.1259714	Omnivore
000004792.1131545	Omnivore
000002906.1076335	Omnivore
000002826.1075879	Omnivore
000004225.1131943	Omnivore
000001812.1075914	Omnivore
000010200.1210886	Omnivore
000014987.1259147	Vegan
000004213.1213120	Omnivore
000007174.1131559	Omnivore
000001118.1075966	Vegan
000010947.1210532	Omnivore
000003303.1259569	Omnivore
000004061.1053873	Omnivore
000004786.1131888	Omnivore
000014297.1257497	Omnivore
000003103.1075922	Omnivore
000011273.1210643	Omnivore
000005036.1076255	Omnivore
000004891.1130079	Omnivore
000001533.1210756	Omnivore
000006653.1130147	Omnivore
000006135.1131744	Omnivore
000013906.1210700	Omnivore
000001548.1075923	Omnivore
000001499.1076418	Omnivore
000009684.1130374	Omnivore
000004759.1076327	Omnivore
000002414.1076151	Omnivore
000002995.1076143	Omnivore
000007009.1131546	Omnivore
000010914.1212995	Omnivore
000011118.1210638	Omnivore
000001750.1259773	Omnivore
000011116.1210680	Vegan
000005849.1076251	Omnivore
000005805.1130034	Omnivore
000012005.1257442	Omnivore
000006670.1131872	Vegan
000010244.1210702	Omnivore
000003531.1130420	Omnivore
000007183.1131548	Omnivore
000001025.1213131	Omnivore
000015909.1259503	Omnivore
000013917.1259507	Vegan
000012417.1210630	Omnivore
000003193.1076330	Omnivore
000001585.1212947	Omnivore
000001908.1076338	Omnivore
000001271.1259581	Omnivore
000003896.1130192	Omnivore
000004612.1076352	Omnivore
000014358.1259333	Omnivore
000001405.1076109	Omnivore
000004738.1076259	Omnivore
000009402.1130343	Omnivore
000014646.1259674	Omnivore
000013095.1259175	Omnivore
000004697.1076252	Omnivore
000012369.1257168	Omnivore
000010724.1210828	Omnivore
000009043.1213080	Omnivore
000001866.1076065	Omnivore
000009661.1257123	Omnivore
000006710.1131717	Omnivore
000013798.1259359	Vegan
000007055.1130316	Omnivore
000001568.1076176	Omnivore
000012199.1257153	Omnivore
000007740.1130093	Omnivore
000014533.1259547	Omnivore
000010967.1257342	Omnivore
000006619.1131670	Omnivore
000002219.1075877	Omnivore
000001751.1075854	Omnivore
000002865.1075768	Omnivore
000006804.1131958	Omnivore
000009128.1213008	Omnivore
000005892.1053892	Omnivore
000013499.1259550	Omnivore
000004695.1130010	Omnivore
000011039.1210916	Vegan
000003365.1075951	Omnivore
000003529.1130325	Omnivore
000004224.1076052	Omnivore
000012981.1259511	Omnivore
000004244.1210573	Omnivore
000001218.1075754	Omnivore
000013521.1257376	Omnivore
000014151.1257289	Omnivore
000010930.1257410	Omnivore
